N5.HOG0000000,
N5.HOG0000001,
N5.HOG0000002,
N5.HOG0000003,
N5.HOG0000004,rna-XM_017355471.2
N5.HOG0000005,
N5.HOG0000006,
N5.HOG0000007,rna-XM_021475877.1
N5.HOG0000008,rna-XM_021480778.1
N5.HOG0000009,
N5.HOG0000010,rna-XM_021470797.1
N5.HOG0000011,
N5.HOG0000012,rna-XM_017355234.1
N5.HOG0000013,
N5.HOG0000014,
N5.HOG0000015,
N5.HOG0000016,
N5.HOG0000017,
N5.HOG0000018,
N5.HOG0000019,
N5.HOG0000020,
N5.HOG0000021,
N5.HOG0000022,
N5.HOG0000023,
N5.HOG0000024,
N5.HOG0000025,
N5.HOG0000026,
N5.HOG0000027,
N5.HOG0000028,
N5.HOG0000029,
N5.HOG0000030,
N5.HOG0000031,
N5.HOG0000032,
N5.HOG0000033,
N5.HOG0000034,
N5.HOG0000035,
N5.HOG0000036,
N5.HOG0000037,
N5.HOG0000038,
N5.HOG0000039,
N5.HOG0000040,rna-NM_001089576.2
N5.HOG0000041,
N5.HOG0000042,
N5.HOG0000043,
N5.HOG0000044,
N5.HOG0000045,
N5.HOG0000046,
N5.HOG0000047,
N5.HOG0000048,
N5.HOG0000049,
N5.HOG0000050,
N5.HOG0000051,
N5.HOG0000052,
N5.HOG0000053,
N5.HOG0000054,
N5.HOG0000055,
N5.HOG0000056,
N5.HOG0000057,
N5.HOG0000058,
N5.HOG0000059,
N5.HOG0000060,
N5.HOG0000061,rna-XM_017355338.2
N5.HOG0000062,
N5.HOG0000063,
N5.HOG0000064,
N5.HOG0000065,
N5.HOG0000066,
N5.HOG0000067,
N5.HOG0000068,
N5.HOG0000069,
N5.HOG0000070,rna-XM_021467541.1
N5.HOG0000071,
N5.HOG0000072,
N5.HOG0000073,
N5.HOG0000074,
N5.HOG0000075,
N5.HOG0000076,
N5.HOG0000077,
N5.HOG0000078,
N5.HOG0000079,
N5.HOG0000080,
N5.HOG0000081,
N5.HOG0000082,
N5.HOG0000083,
N5.HOG0000084,
N5.HOG0000085,
N5.HOG0000086,rna-XM_009291963.3
N5.HOG0000087,
N5.HOG0000088,
N5.HOG0000089,rna-XM_017355353.2
N5.HOG0000090,
N5.HOG0000091,
N5.HOG0000092,rna-XM_017355940.1
N5.HOG0000093,rna-XM_021475467.1
N5.HOG0000094,
N5.HOG0000095,
N5.HOG0000096,
N5.HOG0000097,
N5.HOG0000098,
N5.HOG0000099,
N5.HOG0000100,
N5.HOG0000101,
N5.HOG0000102,
N5.HOG0000103,rna-XM_003200109.5
N5.HOG0000104,
N5.HOG0000105,
N5.HOG0000106,
N5.HOG0000107,
N5.HOG0000108,
N5.HOG0000109,
N5.HOG0000110,
N5.HOG0000111,
N5.HOG0000112,
N5.HOG0000113,
N5.HOG0000114,
N5.HOG0000115,
N5.HOG0000116,
N5.HOG0000117,
N5.HOG0000118,
N5.HOG0000119,
N5.HOG0000120,
N5.HOG0000121,
N5.HOG0000122,
N5.HOG0000123,
N5.HOG0000124,rna-XM_017355422.2
N5.HOG0000125,
N5.HOG0000126,
N5.HOG0000127,
N5.HOG0000128,rna-XM_017355554.2
N5.HOG0000129,
N5.HOG0000130,
N5.HOG0000131,
N5.HOG0000132,
N5.HOG0000133,rna-XM_021475304.1
N5.HOG0000134,
N5.HOG0000135,
N5.HOG0000136,rna-XM_017355174.2
N5.HOG0000137,
N5.HOG0000138,
N5.HOG0000139,rna-XM_009297169.3
N5.HOG0000140,rna-XM_021475396.1
N5.HOG0000141,
